dataset_id	dataset_name	dataset_articles	dataset_sources	dataset_files
1	🏫 US Tuition Costs	https://onlinembapage.com/wp-content/uploads/2016/03/AverageTuition_Part1b.jpg	https://onlinembapage.com/average-tuition-and-educational-attainment-in-the-united-states/	https://github.com/rfordatascience/tidytuesday/tree/master/data/2018/2018-04-02
2	💰 NFL Positional Salaries	NA	https://www.spotrac.com/rankings/	https://github.com/rfordatascience/tidytuesday/tree/master/data/2018/2018-04-09
3	💀 Global Mortality	https://ourworldindata.org/what-does-the-world-die-from	https://ourworldindata.org/	https://github.com/rfordatascience/tidytuesday/tree/master/data/2018/2018-04-16
4	💵 Australian Salaries By Gender	https://data.gov.au/dataset/ds-dga-25e81c18-2083-4abe-81b6-0f530053c63f/details	https://data.gov.au/dataset/ds-dga-25e81c18-2083-4abe-81b6-0f530053c63f/details	https://github.com/rfordatascience/tidytuesday/tree/master/data/2018/2018-04-23
5	📊 ACS Census Data 2015	NA	https://factfinder.census.gov/faces/nav/jsf/pages/index.xhtml, https://www.kaggle.com/muonneutrino/us-census-demographic-data	https://github.com/rfordatascience/tidytuesday/tree/master/data/2018/2018-04-30
6	☕️ Global Coffee Chains	https://flowingdata.com/2014/03/18/coffee-place-geography/	https://www.kaggle.com/starbucks/store-locations, https://locations.timhortons.com/, http://www.odditysoftware.com/download/download.php?filename=dunkin-donuts.zip	https://github.com/rfordatascience/tidytuesday/tree/master/data/2018/2018-05-07
7	👽 Star Wars Survey	https://fivethirtyeight.com/features/americas-favorite-star-wars-movies-and-least-favorite-characters/	https://github.com/rudeboybert/fivethirtyeight	https://github.com/rfordatascience/tidytuesday/tree/master/data/2018/2018-05-14
8	🐝 US Honey Production	https://www.beeculture.com/u-s-honey-industry-report-2016/	https://usda.library.cornell.edu/, https://www.kaggle.com/jessicali9530/honey-production	https://github.com/rfordatascience/tidytuesday/tree/master/data/2018/2018-05-21
9	💥 Comic Book Characters	https://fivethirtyeight.com/features/women-in-comic-books/	https://github.com/rudeboybert/fivethirtyeight	https://github.com/rfordatascience/tidytuesday/tree/master/data/2018/2018-05-29
10	🚲 Biketown Bikeshare	https://www.biketownpdx.com/system-data, https://cascadiarconf.com/agenda/#craggy	https://www.biketownpdx.com/system-data	https://github.com/rfordatascience/tidytuesday/tree/master/data/2018/2018-06-05
11	⚽️ FIFA World Cup Audience	https://fivethirtyeight.com/features/how-to-break-fifa/	https://github.com/rudeboybert/fivethirtyeight	https://github.com/rfordatascience/tidytuesday/tree/master/data/2018/2018-06-12
12	🌪 Hurricanes & Puerto Rico	https://fivethirtyeight.com/features/the-media-really-has-neglected-puerto-rico/	https://github.com/rudeboybert/fivethirtyeight	https://github.com/rfordatascience/tidytuesday/tree/master/data/2018/2018-06-19
13	🥃 Alcohol Consumption	https://fivethirtyeight.com/features/dear-mona-followup-where-do-people-drink-the-most-beer-wine-and-spirits/	https://github.com/rudeboybert/fivethirtyeight	https://github.com/rfordatascience/tidytuesday/tree/master/data/2018/2018-06-26
14	👵 Global Life Expectancy	https://ourworldindata.org/life-expectancy	https://ourworldindata.org	https://github.com/rfordatascience/tidytuesday/tree/master/data/2018/2018-07-03
15	🍺 US Craft Beer	https://www.thrillist.com/news/nation/most-craft-breweries-by-state-united-states	https://data.world/	https://github.com/rfordatascience/tidytuesday/tree/master/data/2018/2018-07-10
16	🏋️‍♂️ US Exercise	https://www.cdc.gov/nchs/data/nhsr/nhsr112.pdf	https://www.cdc.gov/	https://github.com/rfordatascience/tidytuesday/tree/master/data/2018/2018-07-17
17	📉 p-hack-athon Collaboration	http://phackathon.netlify.com/	https://simplystatistics.org/	http://phackathon.netlify.com/#about
18	🐈 Dallas Animal Shelter 2017	https://www.dallasopendata.com/stories/s/FY-2017-Dallas-Animal-Descriptive-Analysis/upeh-b6mt	https://www.dallasopendata.com/City-Services/FY-2017-Dallas-Animal-Shelter-Data/sjyj-ydcj	https://github.com/rfordatascience/tidytuesday/tree/master/data/2018/2018-07-31
19	🛫 Airline Safety	https://fivethirtyeight.com/features/should-travelers-avoid-flying-airlines-that-have-had-crashes-in-the-past/	https://github.com/rudeboybert/fivethirtyeight	https://github.com/rfordatascience/tidytuesday/tree/master/data/2018/2018-08-07
20	😈 Russian Troll Tweets	https://fivethirtyeight.com/features/why-were-sharing-3-million-russian-troll-tweets/	https://github.com/fivethirtyeight/russian-troll-tweets	https://github.com/fivethirtyeight/russian-troll-tweets
21	🔥 California Fires	https://www.buzzfeednews.com/article/peteraldhous/california-wildfires-people-climate, https://buzzfeednews.github.io/2018-07-wildfire-trends/	https://github.com/BuzzFeedNews/2018-07-wildfire-trends	https://github.com/rfordatascience/tidytuesday/tree/master/data/2018/2018-08-21
22	🏈 NFL Stats	https://www.eldo.co/nfl-rushing-and-passing-in-four-charts.html	https://www.pro-football-reference.com/	https://github.com/rfordatascience/tidytuesday/tree/master/data/2018/2018-08-28
23	🍔 Fast Food Calories	https://www.franchiseopportunities.com/blog/general-franchise-information/fast-food-calorie-comparison-charts	https://fastfoodnutrition.org/	https://github.com/rfordatascience/tidytuesday/tree/master/data/2018/2018-09-04
24	🐾 US Cats vs. Dogs	https://www.washingtonpost.com/news/wonk/wp/2014/07/28/where-cats-are-more-popular-than-dogs-in-the-u-s-and-all-over-the-world/?utm_term=.40c4ab057b76	https://data.world/datanerd/cat-vs-dog-popularity-in-u-s	https://github.com/rfordatascience/tidytuesday/tree/master/data/2018/2018-09-11
25	✈️ US Flights	https://www.travelweekly.com/Travel-News/Airline-News/In-trend-reversal-midsized-airports-are-growing	https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/previous_years/	https://github.com/rfordatascience/tidytuesday/tree/master/data/2018/2018-09-18
25b	👩‍✈️ Hypoxia in Pilots	https://github.com/rfordatascience/tidytuesday/files/2343596/Hypoxia.Article.proof.pdf	https://github.com/rfordatascience/tidytuesday/files/2343596/Hypoxia.Article.proof.pdf	https://github.com/rfordatascience/tidytuesday/tree/master/data/2018/2018-09-18
26	🦗 Global Invasive Species	https://www.pnas.org/content/113/27/7575, http://www.griis.org/	https://www.pnas.org/content/113/27/7575, http://www.griis.org/	https://github.com/rfordatascience/tidytuesday/tree/master/data/2018/2018-09-25
